Name [units],Value,Reference,Notes
# Empty rows and rows starting with # will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],0.33795074,"Calculation, consistant with Hosseinzadeh 2018",
Maximum concentration in positive electrode [mol.m-3],22806,Prada Thermal Aging,
Positive electrode diffusivity [m2.s-1],5.90E-18,Prada Fast Charging,
Positive electrode OCP [V],[function]LFP_ocp_ashfar2017,,
,,,
# Microstructure,,,
Positive electrode porosity,0.26,Lain2019,
Positive electrode active material volume fraction,0.5846,Calculated as 0.79*(1-0.26) from Lain2019,
Positive particle radius [m],5.00E-08,,
Positive electrode Bruggeman coefficient (electrode),1.5,,
Positive electrode Bruggeman coefficient (electrolyte),1.5,,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Positive electrode charge transfer coefficient,0.5,adjust,
Positive electrode double-layer capacity [F.m-2],0.2,adjust,
,,,
# Density,,,
Positive electrode density [kg.m-3],2341.17,default,
,,,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],1100,,
Positive electrode thermal conductivity [W.m-1.K-1],2.1,,
Positive electrode OCP entropic change [V.K-1],0,,
,,,
# exchange-current density,,,
Positive electrode exchange-current density [A.m-2],[function]LFP_electrolyte_exchange_current_density_kashkooli2017,,
